employee_id,department,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met,Awards,avg_training_score,Promoted
58,4,1,1,1,1,51,3,10,0,0,59,0
59,8,3,1,1,2,26,3,3,0,0,81,0
60,4,1,0,2,1,32,1,7,0,0,56,0
61,7,2,0,1,1,36,2,9,0,1,52,0
62,0,1,1,1,2,31,2,3,0,0,88,0
63,4,1,1,2,1,53,5,8,1,0,60,0
64,7,1,1,1,1,40,5,9,0,0,55,0
65,0,1,0,1,3,28,5,5,1,0,83,0
66,8,1,0,1,1,31,3,5,0,0,81,0
67,8,2,0,2,1,35,5,10,0,0,83,1
68,7,1,1,1,1,44,1,7,0,0,46,0
69,7,1,1,1,1,56,3,15,0,0,51,0
70,0,1,1,2,1,32,5,6,1,0,84,0
71,4,2,0,2,2,38,3,12,1,0,87,1
72,4,2,1,1,1,48,3,20,1,0,59,1
73,8,2,1,1,2,35,3,3,0,0,81,0
74,5,1,1,2,3,29,3,4,0,0,68,0
75,6,2,1,2,1,38,4,9,0,0,83,0
76,0,1,1,1,2,29,3,2,0,0,88,0
77,7,2,1,1,1,45,2,14,0,0,49,0
78,8,2,1,1,1,46,3,6,0,0,77,0
79,5,1,1,1,1,34,5,8,1,0,87,1
80,0,1,1,1,1,26,3,2,1,0,84,0
81,0,2,1,1,1,49,4,5,0,0,90,0
82,2,1,0,1,1,24,3,3,0,0,52,0
83,5,1,0,2,1,29,3,2,0,0,70,0
84,7,1,1,1,1,43,5,5,1,0,90,1
85,8,1,0,1,1,35,3,9,0,0,77,0
86,0,1,1,1,1,39,3,3,0,0,86,0
87,0,1,1,1,1,42,3,6,1,0,84,0
88,8,1,1,1,1,26,4,3,1,0,80,0
89,7,1,1,2,1,56,5,24,1,0,50,0
90,5,1,1,1,2,26,3,2,0,0,67,0
91,4,1,0,2,1,30,5,8,1,0,64,0
92,4,2,0,1,1,31,3,2,1,0,62,0
93,7,1,0,2,1,32,4,10,0,0,53,0
94,5,2,0,1,1,40,5,3,1,0,69,1
95,4,1,0,1,1,29,1,4,1,0,61,0
96,8,1,1,1,1,48,2,6,0,0,79,0
97,7,2,0,1,3,31,1,5,1,0,49,0
98,7,1,1,1,1,41,3,6,0,0,51,0
99,8,1,1,2,1,36,4,9,1,0,82,0
100,5,1,1,1,1,44,4,18,0,0,73,0
101,8,2,1,2,1,46,3,19,0,0,80,0
102,6,1,1,2,4,40,1,5,0,0,84,0
103,7,1,1,1,1,29,3,6,1,0,94,1
104,6,1,0,1,2,34,4,8,0,0,81,0
105,7,1,1,2,4,27,1,5,1,0,48,0
106,4,1,1,1,1,33,5,4,1,0,58,0
107,0,1,1,2,1,27,4,3,1,0,86,0
108,2,1,1,2,1,27,3,4,0,0,50,0
109,8,2,1,2,1,34,3,7,1,0,79,0
110,8,1,1,1,1,30,3,3,0,0,79,0
111,7,1,1,1,1,59,1,14,0,0,50,0
112,1,1,1,2,1,28,4,5,1,0,76,1
113,8,1,0,1,1,32,3,5,0,0,79,0
114,0,2,1,1,1,39,5,10,1,0,85,0
115,4,2,0,1,1,34,5,2,1,0,59,0
116,2,1,0,1,1,35,3,7,0,0,46,0
117,1,1,1,1,1,29,5,6,1,0,61,0
118,8,2,0,1,1,38,4,5,1,0,79,0
119,6,1,1,1,1,32,2,5,0,0,81,0
120,0,1,1,2,1,29,4,4,0,0,82,0
121,8,2,0,1,1,37,1,3,0,0,82,0
122,4,2,0,1,1,56,5,17,0,0,57,0
123,7,2,0,1,2,42,4,15,1,0,47,1
124,2,1,1,1,1,44,3,15,0,0,48,0
125,7,1,1,2,1,36,2,5,0,0,48,0
126,8,1,1,1,4,34,3,4,1,1,84,0
127,0,1,0,2,1,32,1,5,0,0,87,0
128,7,1,0,1,1,30,1,8,0,0,52,0
129,5,1,0,1,3,33,3,7,0,0,66,0
130,8,1,1,2,1,32,5,6,1,0,83,0
131,4,1,1,1,1,41,4,6,1,0,52,0
132,5,2,1,1,1,52,5,9,1,0,68,0
133,4,1,0,1,1,26,4,3,0,0,61,0
134,5,2,1,1,1,34,4,5,0,0,71,0
135,7,2,1,1,1,54,1,7,0,0,50,0
136,4,1,0,2,1,27,3,4,0,0,65,0
137,8,2,1,1,1,38,1,7,0,0,81,0
138,8,2,1,2,1,42,1,7,0,0,78,0
139,4,1,1,1,1,33,5,5,1,0,62,0
140,3,1,1,2,1,37,4,10,0,0,56,0
141,5,2,1,1,1,41,1,12,0,0,70,0
142,4,2,1,2,2,38,3,8,0,0,77,1
143,4,1,1,1,3,29,3,3,0,0,56,0
144,5,2,0,1,3,51,5,11,0,0,67,0
145,4,1,0,1,1,33,5,6,0,0,57,0
146,8,2,0,1,1,36,3,3,0,0,76,0
147,7,1,1,1,2,33,2,5,0,0,50,0
148,4,1,1,2,1,50,3,25,0,0,61,0
149,7,2,1,2,1,44,5,17,1,0,48,0
150,7,2,1,1,1,34,3,6,0,0,50,0
151,2,2,0,1,1,45,3,4,0,0,46,0
152,4,1,0,2,2,33,3,7,0,0,60,0
153,3,1,1,2,1,31,2,3,0,0,57,0
154,0,1,1,1,1,29,5,3,1,0,89,0
155,7,2,1,1,1,32,4,6,1,0,52,1
156,4,1,1,2,2,34,3,10,0,0,57,0
157,8,2,0,2,1,30,3,6,0,0,78,0
158,4,2,1,2,1,34,3,6,0,0,57,0
159,0,2,1,2,1,33,1,8,0,0,86,0
160,4,2,1,1,1,48,4,16,0,0,56,0
161,7,1,0,2,1,34,1,7,0,0,43,0
162,8,1,1,1,1,48,3,11,0,0,76,0
163,4,2,1,1,1,40,5,3,1,0,62,0
164,5,2,0,1,1,58,4,26,0,0,71,0
165,5,1,1,2,1,36,3,7,1,0,71,0
166,4,1,1,1,1,34,5,7,1,0,55,0
167,6,1,1,1,1,39,5,6,1,0,83,0
168,5,3,0,1,1,25,5,2,1,0,69,1
169,8,1,0,2,1,29,5,2,1,0,82,1
170,4,1,0,2,1,33,4,2,1,0,64,0
171,7,2,0,2,1,40,3,7,0,0,50,0
172,8,1,0,1,1,43,1,6,0,0,81,0
173,0,2,1,2,1,30,5,3,1,0,86,0
174,4,1,0,2,1,34,5,4,1,0,56,0
175,7,2,0,1,2,33,1,3,1,0,58,0
176,5,2,0,1,1,30,3,5,0,0,82,1
177,7,2,0,1,4,57,1,6,0,0,50,0
178,7,2,1,1,1,43,1,13,0,0,46,0
179,3,1,1,2,1,30,4,3,0,0,62,0
180,7,1,1,1,4,31,1,4,0,0,54,0
181,4,3,1,2,1,26,5,4,0,0,64,0
182,5,1,1,2,1,39,1,11,0,0,67,0
183,7,2,1,2,1,37,3,6,1,0,51,0
184,8,1,1,1,1,31,1,5,0,0,78,0
185,5,3,1,1,1,26,4,2,1,0,68,0
186,7,1,1,1,1,27,2,2,0,0,50,0
187,1,1,0,2,1,28,5,4,1,1,96,1
188,5,2,1,2,1,47,1,12,0,0,73,0
189,7,1,1,2,1,43,4,14,0,0,53,0
190,5,2,1,2,1,33,1,6,0,0,71,0
191,7,1,0,2,1,32,3,8,0,0,50,0
192,4,1,1,1,1,44,2,15,0,0,59,0
193,5,1,1,2,1,29,3,3,1,0,68,0
194,4,1,1,2,2,32,1,3,0,0,60,0
195,8,2,1,1,1,42,3,5,0,0,79,0
196,1,1,1,2,1,47,1,19,0,0,62,0
197,7,1,1,1,5,28,1,5,0,0,51,0
198,7,1,1,2,1,35,3,9,1,0,45,1
199,2,1,1,1,1,49,3,6,0,1,62,1
200,7,2,1,1,2,43,3,12,1,0,47,1
201,4,1,1,2,1,29,4,2,0,0,61,0
202,7,1,1,1,1,30,3,2,1,0,45,1
203,4,1,1,1,1,30,5,6,1,0,56,0
204,4,2,1,1,1,36,3,5,0,0,58,0
205,7,1,1,1,1,34,3,8,0,0,46,0
206,1,1,1,1,2,26,3,2,1,0,59,0
207,7,1,0,2,1,42,5,12,1,0,52,0
208,5,2,1,1,1,33,4,6,0,0,67,0
209,7,2,1,1,4,37,3,7,0,0,52,0
210,2,1,1,2,2,28,4,5,0,0,49,0
211,1,2,1,1,1,32,3,8,0,0,58,0
212,4,1,1,1,2,31,5,6,1,0,63,0
213,7,1,1,2,2,46,1,17,0,0,51,0
214,4,1,0,1,1,51,4,16,0,0,55,0
215,7,1,1,1,1,39,5,10,0,0,51,0
216,4,1,0,1,1,36,2,7,1,0,60,0
217,8,1,0,2,1,38,4,7,0,0,81,0
218,3,1,1,1,1,30,5,4,1,0,59,0
219,4,1,1,1,2,34,5,2,0,0,58,0
220,6,2,1,2,2,41,3,2,0,0,82,0
221,8,1,1,3,1,29,3,2,1,0,83,0
222,7,1,1,2,4,34,3,2,0,0,48,0
223,4,1,1,1,1,32,2,5,1,0,62,0
224,8,1,0,1,1,52,3,12,0,0,81,0
225,8,1,1,1,1,26,3,3,0,0,80,0
226,5,2,0,1,1,34,3,7,0,0,70,0
227,7,2,1,2,1,34,4,5,1,0,51,0
228,7,1,1,1,1,29,4,5,0,0,50,0
229,1,1,1,1,1,33,5,6,1,0,57,0
230,4,1,1,2,1,33,4,6,1,0,63,0
231,2,1,0,2,1,32,5,9,1,0,51,1
232,7,1,1,2,1,35,5,8,0,0,56,0
233,8,1,1,1,2,29,3,2,0,0,79,0
234,1,1,1,1,1,36,3,5,1,0,62,0
235,8,1,1,2,2,25,3,2,0,0,80,0
236,7,2,1,1,1,40,4,4,0,0,49,0
237,7,2,0,2,1,31,5,5,1,0,51,0
238,7,1,1,2,1,31,4,2,0,0,48,0
239,4,2,1,1,1,55,4,18,0,1,54,0
240,7,2,1,2,1,45,1,14,0,0,45,0
241,6,1,1,3,1,30,4,3,0,0,83,0
242,5,1,1,1,1,29,4,4,1,0,66,0
243,7,1,1,1,1,32,5,5,0,0,45,0
244,7,1,1,1,2,24,3,3,0,0,53,0
245,4,1,0,2,1,25,3,2,0,0,60,0
246,4,2,0,1,2,42,3,5,0,0,66,0
247,5,2,0,2,1,47,3,4,1,0,73,0
248,2,1,1,1,1,40,4,5,0,0,53,0
249,5,2,0,1,1,34,4,7,0,0,70,0
250,5,2,0,1,1,36,4,8,0,0,74,0
251,7,1,0,2,1,34,3,9,0,0,48,0
252,7,2,0,1,1,34,3,5,0,0,65,1
253,4,1,0,1,1,35,3,5,1,0,57,1
254,4,1,1,3,1,36,4,7,1,0,58,0
255,7,2,1,1,1,58,3,6,0,0,97,1
256,8,1,0,1,1,59,3,16,1,0,80,0
257,7,1,1,1,1,32,3,5,1,0,51,0
258,7,2,1,2,2,46,2,12,0,0,48,0
259,2,2,0,3,1,37,5,4,1,0,47,0
260,4,1,1,1,2,31,4,5,1,0,63,0
261,5,1,0,2,1,31,5,5,0,0,71,0
262,8,1,1,1,2,34,2,2,1,0,76,0
263,8,2,0,2,2,43,1,12,0,0,80,0
264,0,1,1,1,2,32,5,2,1,0,88,0
265,4,1,0,2,1,31,4,5,0,0,58,0
266,8,2,0,1,4,33,4,7,1,0,82,0
267,5,1,0,2,1,32,2,5,0,0,67,0
268,5,1,0,2,2,33,4,8,0,0,71,0
269,5,2,0,2,1,48,1,19,0,0,72,0
270,5,1,1,1,3,60,3,16,0,0,68,0
271,7,1,0,1,1,30,3,6,0,0,48,0
272,7,1,1,2,1,36,5,4,0,0,49,0
273,7,1,1,1,1,35,4,2,1,0,48,0
274,7,2,1,1,3,33,3,6,0,0,50,0
275,5,2,0,1,4,32,3,8,0,0,70,0
276,8,1,0,2,1,43,5,12,1,0,80,0
277,7,2,1,1,1,42,5,16,0,1,98,1
278,7,1,1,2,1,36,2,9,0,0,47,0
279,7,1,1,3,1,27,1,5,1,0,50,0
280,5,1,0,2,1,33,1,8,0,0,74,0
281,7,2,0,1,2,33,3,7,0,0,49,0
282,8,1,1,1,1,34,4,7,1,0,78,1
283,7,2,1,2,2,42,1,7,1,0,50,0
284,0,1,1,2,1,30,3,5,0,0,85,0
285,4,2,1,2,1,48,3,18,0,0,64,0
286,5,1,0,1,1,28,5,2,1,0,69,1
287,4,1,1,1,1,30,5,6,1,0,58,0
288,4,1,0,2,1,33,3,10,0,0,69,1
289,4,1,0,2,1,49,5,9,1,0,60,0
290,7,2,0,1,2,50,1,17,0,0,48,0
291,5,2,0,2,1,34,3,7,0,0,70,0
292,8,1,1,1,1,44,1,11,0,0,78,0
293,7,2,1,2,1,32,5,3,1,0,50,0
294,7,1,1,3,1,28,4,4,1,0,45,0
295,3,2,1,2,1,36,3,4,0,0,66,0
296,4,1,0,2,1,23,3,2,0,0,61,0
297,4,3,1,1,1,24,3,2,0,0,60,0
298,8,1,0,2,1,57,3,19,0,0,81,0
299,4,1,1,2,1,29,4,2,1,0,57,0
300,0,1,1,2,1,28,3,2,0,0,88,0
301,7,1,1,1,1,36,5,7,1,0,52,1
302,7,1,1,1,1,40,5,11,0,0,51,0
303,0,2,1,2,1,35,5,9,1,0,84,1
304,4,1,0,1,2,29,5,5,1,0,56,0
305,0,1,1,2,1,46,5,6,1,0,88,0
306,3,1,1,1,1,35,3,5,0,0,61,0
307,0,1,1,2,1,34,3,6,0,0,82,0
308,7,2,0,1,1,36,1,7,0,0,54,0
309,7,1,1,2,1,38,5,6,0,0,46,0
310,7,1,1,2,1,33,1,6,0,0,48,0
311,7,1,1,2,1,34,1,7,0,0,51,0
312,2,1,1,1,1,33,3,10,0,0,53,0
313,4,2,0,2,1,42,5,3,0,0,77,1
314,5,2,0,2,1,36,4,5,1,0,62,0
315,7,1,1,1,1,34,3,5,0,0,48,0
316,7,1,1,1,1,40,2,10,0,0,49,0
317,4,1,0,1,1,40,5,3,1,0,57,0
318,0,1,1,1,1,31,3,7,1,0,87,0
319,7,2,0,1,1,54,4,24,0,0,54,0
320,5,2,0,2,2,33,3,6,0,0,71,0
321,4,1,1,1,1,32,4,3,1,0,58,0
322,7,1,1,2,1,29,3,2,1,0,50,0
323,7,2,1,1,1,44,1,6,0,0,48,0
324,5,2,1,2,1,39,5,3,1,0,69,0
325,0,1,1,1,2,28,3,2,0,0,84,1
326,7,2,1,1,1,30,1,4,0,0,50,0
327,7,2,0,1,1,37,4,7,0,0,49,0
328,1,1,1,2,1,30,3,4,1,0,58,0
329,8,2,1,2,1,36,5,8,1,0,76,1
330,8,2,1,1,2,41,3,12,0,0,78,0
331,5,1,1,2,1,31,3,7,0,0,65,0
332,0,1,1,1,2,32,5,2,0,0,85,0
333,7,1,1,2,1,31,4,7,0,0,48,0
334,4,2,0,2,1,34,5,6,1,0,59,0
335,5,1,1,1,1,43,3,6,0,0,69,0
336,8,1,1,2,2,27,2,4,0,0,82,0
337,0,1,1,2,2,32,3,8,0,0,88,0
338,7,1,1,1,4,30,3,4,0,0,49,0
339,7,1,1,1,2,28,1,5,0,0,48,0
340,0,2,1,1,2,47,3,15,0,0,84,0
341,5,1,1,2,1,26,3,2,0,0,76,0
342,5,1,0,1,1,44,3,2,0,0,70,0
343,7,1,1,2,1,31,5,3,1,0,52,0
344,0,1,1,1,2,26,5,4,0,0,85,1
345,4,1,0,1,2,38,4,10,0,0,58,0
346,0,1,1,2,1,29,1,2,0,0,80,0
347,4,2,0,2,1,36,3,6,0,0,59,0
348,6,2,1,2,1,29,2,3,0,0,86,0
349,1,2,1,2,1,36,3,2,1,0,64,0
350,8,1,1,2,1,35,3,9,0,0,87,0
351,0,1,1,1,1,31,1,4,1,0,87,0
352,8,2,0,2,1,33,3,7,0,0,77,0
353,5,3,1,1,2,24,3,2,0,0,73,0
354,8,2,0,1,1,35,1,10,0,0,81,0
355,1,2,0,2,1,33,4,3,0,0,66,0
356,7,2,1,1,1,44,5,16,1,0,47,0
357,4,1,1,1,1,31,3,4,0,1,59,0
358,0,1,1,2,1,45,5,15,0,0,88,0
359,4,2,1,2,1,35,2,10,0,0,57,0
360,7,1,1,1,2,32,4,5,1,0,50,0
361,7,2,1,2,1,35,4,10,0,0,49,0
362,7,1,1,1,1,34,3,10,1,0,51,1
363,5,1,1,2,3,33,4,7,1,0,70,1
364,7,1,0,2,1,40,4,6,1,0,52,0
365,4,2,1,2,1,36,5,3,1,0,58,0
366,4,2,1,1,1,36,4,10,1,0,60,0
367,5,1,0,1,2,35,3,7,0,0,68,0
368,7,1,0,1,1,38,5,3,1,0,50,0
369,4,2,0,2,3,44,4,15,1,0,61,0
370,4,1,1,1,2,31,3,5,0,0,61,0
371,4,1,0,1,1,38,2,5,0,0,59,0
372,0,1,1,1,1,30,1,6,0,0,86,0
373,4,1,1,2,1,30,4,4,0,0,63,0
374,4,1,1,1,1,31,2,3,0,0,59,0
375,1,1,1,2,2,31,3,6,0,0,62,0
376,0,2,1,2,2,34,5,6,1,0,90,0
377,7,2,1,1,1,45,4,7,0,0,50,0
378,5,1,1,1,2,32,3,7,0,0,68,0
379,5,1,1,1,1,47,2,15,0,0,69,0
380,1,2,1,1,1,34,1,6,0,0,60,0
381,5,2,1,2,1,41,3,3,1,0,69,0
382,7,1,1,1,1,36,5,8,1,0,53,0
383,8,2,0,1,1,43,3,4,0,0,80,0
384,4,1,1,1,1,28,5,5,1,0,62,0
385,8,1,1,1,1,35,1,6,1,0,77,1
386,8,1,0,1,1,29,2,2,0,0,79,0
387,7,2,1,1,1,42,3,6,1,0,47,0
388,7,1,1,2,1,40,1,12,0,0,48,0
389,7,1,1,1,1,33,1,6,0,0,53,0
390,8,1,1,2,1,44,1,12,0,0,79,0
391,7,1,1,2,1,34,4,3,0,0,51,0
392,4,1,1,1,1,41,5,5,1,0,56,1
393,4,1,0,2,1,38,1,8,0,0,57,0
394,5,1,1,2,1,42,3,10,0,0,67,0
395,3,3,0,1,1,27,4,2,0,0,60,0
396,8,1,0,1,1,29,3,2,0,0,82,0
397,7,1,1,2,1,53,1,5,0,0,49,0
398,7,1,1,2,2,30,1,5,0,0,51,0
399,7,1,0,1,1,30,4,2,0,0,50,0
400,6,2,1,2,3,33,3,5,0,0,82,0
401,7,1,0,2,1,26,3,2,0,0,49,0
402,7,1,1,2,1,30,3,4,1,1,50,0
403,8,1,1,1,1,29,4,2,1,0,82,0
404,2,2,1,1,1,34,4,2,0,0,48,0
405,5,1,0,1,1,39,3,8,0,0,68,0
406,0,1,1,1,1,31,1,6,1,0,89,0
407,5,1,1,2,10,36,1,10,0,0,66,0
408,4,1,1,2,1,32,4,6,0,0,60,0
409,7,1,0,2,2,28,1,2,0,0,49,0
410,5,1,0,1,1,49,2,6,0,0,70,0
411,4,2,0,2,1,38,3,9,0,0,62,0
412,5,1,0,1,1,29,4,5,0,0,67,0
413,8,1,1,2,2,42,3,3,0,0,80,0
414,5,1,0,2,2,29,3,2,0,0,70,0
415,4,1,0,2,1,33,1,2,0,0,60,0
416,8,2,1,1,1,48,3,7,0,0,78,0
417,7,1,1,2,1,26,3,4,0,0,53,0
418,8,1,0,2,1,30,5,2,0,0,81,0
419,8,2,0,3,1,33,4,5,0,0,83,0
420,8,2,1,2,1,36,1,3,0,0,81,0
421,4,2,1,1,2,35,3,9,1,0,55,0
422,5,1,0,1,1,29,3,4,0,0,74,0
423,4,2,0,2,1,54,5,11,1,0,58,1
424,8,2,1,1,1,41,2,15,0,0,83,0
425,7,2,0,2,3,37,1,3,0,0,49,0
426,7,1,0,1,1,31,5,4,0,0,46,0
427,8,1,1,1,2,25,4,3,0,0,79,0
428,7,1,1,2,1,29,5,2,0,0,46,0
429,5,2,1,1,1,43,1,8,0,0,72,0
430,8,2,0,2,1,46,5,17,0,0,82,0
431,7,1,1,1,1,28,2,4,1,0,51,0
432,7,1,1,2,1,35,4,3,1,0,52,0
433,7,1,1,2,1,31,4,7,0,0,49,0
434,7,1,1,2,1,36,3,4,1,0,50,0
435,4,2,1,2,2,46,5,16,1,0,64,0
436,7,1,1,1,1,39,1,10,0,0,47,0
437,7,1,1,1,1,36,2,2,0,0,52,0
438,0,2,1,2,1,49,5,4,1,0,86,0
439,0,1,1,1,1,37,3,10,1,0,86,0
440,1,1,1,2,3,26,3,4,0,0,56,0
441,5,2,1,1,1,42,3,2,0,0,69,0
442,7,1,0,2,1,30,1,5,0,0,48,0
443,5,1,0,2,1,33,3,7,0,0,70,0
444,7,1,1,1,2,32,1,6,0,0,45,0
445,0,2,1,2,1,35,1,3,0,0,86,0
446,4,2,1,1,1,41,5,12,1,0,61,0
447,7,1,0,1,1,27,1,4,0,0,53,0
448,7,1,1,2,2,26,4,4,0,0,60,1
449,4,2,1,1,1,49,3,19,0,0,64,0
450,7,2,0,2,2,45,2,18,0,0,45,0
451,7,1,1,2,1,28,4,2,0,0,46,0
452,4,1,0,2,1,33,5,4,1,0,58,0
453,7,1,1,2,1,31,3,5,0,0,46,0
454,7,1,1,1,1,58,5,18,0,0,50,0
455,7,2,1,1,1,37,4,9,1,0,49,0
456,4,1,0,2,1,42,3,7,1,0,59,0
457,7,1,0,1,4,29,3,4,0,0,51,0
458,0,2,1,2,1,35,4,8,0,0,84,0
459,4,1,1,2,1,28,4,2,0,0,58,0
460,7,1,1,1,1,37,4,2,1,0,64,1
461,2,1,0,1,1,27,3,1,0,0,45,0
462,7,2,1,1,2,36,3,9,0,0,47,0
463,8,2,1,1,1,44,3,8,0,0,81,0
464,7,2,1,1,1,57,4,16,0,0,47,0
465,2,2,1,1,1,44,3,6,0,0,53,0
466,4,1,1,1,1,41,3,3,0,0,56,0
467,8,1,1,1,1,48,1,8,0,0,83,0
468,8,1,1,3,1,31,4,4,0,0,78,0
469,7,1,0,2,1,26,3,2,0,0,48,0
470,7,2,1,1,1,33,2,4,0,0,57,0
471,6,1,1,1,3,28,3,4,1,1,86,0
472,7,1,1,2,3,50,3,7,0,0,51,0
473,4,2,0,2,1,40,4,4,1,0,57,0
474,4,1,0,1,1,29,3,3,0,0,59,0
475,7,1,1,1,2,27,3,2,0,0,48,0
476,7,1,0,2,1,33,5,7,1,0,50,0
477,4,2,1,1,1,41,3,7,0,0,56,0
478,7,1,1,2,1,44,3,16,0,0,47,0
479,8,2,1,1,1,34,3,8,0,0,79,0
480,7,1,1,1,1,42,4,10,1,0,52,0
481,4,1,1,1,1,30,3,7,0,0,60,0
482,8,2,1,2,3,34,4,9,1,0,79,0
483,4,2,0,1,1,40,1,4,1,1,64,0
484,0,2,1,2,1,40,4,7,0,0,84,0
485,4,1,1,1,1,28,4,1,0,0,62,0
486,7,2,1,2,1,44,3,16,1,0,47,0
487,2,2,0,2,1,37,3,2,1,0,51,0
488,7,2,1,1,1,37,3,10,0,0,43,0
489,7,2,1,1,1,40,1,11,0,0,50,0
490,0,2,1,1,1,33,5,5,1,0,79,0
491,8,1,0,2,1,41,2,2,1,1,75,0
492,4,1,1,2,1,34,5,5,1,0,65,0
493,7,1,1,2,1,31,5,5,0,0,46,0
494,7,1,0,2,1,35,5,6,1,1,54,0
495,6,2,1,1,1,33,1,2,0,0,87,0
496,5,1,0,1,1,31,4,4,1,0,69,0
497,7,2,1,2,1,31,5,6,0,0,47,0
498,7,1,1,2,2,34,1,5,0,0,52,0
499,7,1,1,2,1,30,1,6,0,0,51,0
500,7,1,1,1,1,36,2,3,0,0,52,0
501,7,2,1,1,1,43,5,14,0,0,48,0
502,7,1,0,1,1,31,3,3,0,0,47,0
503,4,1,1,2,1,30,4,4,0,0,59,0
504,0,1,1,1,1,28,1,6,1,0,81,0
505,0,1,1,1,1,38,5,4,0,0,85,0
506,5,2,0,1,2,38,2,5,0,0,68,0
507,7,1,1,1,2,29,3,3,0,0,50,0
508,7,1,0,1,1,59,5,18,0,0,48,0
509,0,1,1,1,1,30,4,2,1,0,84,0
510,4,2,1,1,1,40,3,13,0,0,57,0
511,7,1,1,2,3,33,3,3,0,0,48,0
512,8,2,1,1,1,30,2,4,0,0,78,0
513,7,2,1,1,1,49,1,12,0,0,55,0
514,7,1,0,1,1,33,3,10,0,0,45,0
515,4,1,1,1,1,25,3,4,1,0,65,0
516,4,2,0,2,1,40,3,6,0,0,59,0
517,7,1,1,2,2,37,2,3,0,0,47,0
518,7,1,1,1,1,27,5,5,0,0,52,0
519,7,2,1,2,1,39,4,4,0,0,46,0
520,7,1,1,1,1,33,2,2,0,0,47,0
521,0,2,1,2,1,33,5,6,1,0,86,0
522,7,2,1,1,1,50,5,18,1,0,53,1
523,7,1,1,1,1,48,3,4,1,0,47,0
524,5,1,1,2,1,47,1,16,0,0,70,0
525,5,1,0,1,1,32,1,3,1,0,69,0
526,0,1,0,2,1,29,1,2,0,0,82,0
527,4,1,1,1,1,31,3,7,1,0,60,0
528,3,2,0,2,1,42,4,13,0,0,57,0
529,0,2,1,2,1,29,5,4,0,0,85,0
530,4,1,0,1,2,33,5,6,0,0,70,1
531,7,2,1,1,1,34,5,3,1,0,53,0
532,5,1,1,2,3,26,3,4,0,0,70,0
533,1,1,1,2,1,29,3,8,1,0,63,0
