employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
29,Procurement,7,Bachelor's,m,sourcing,1,43,3,3,0,0,70,0
30,Sales & Marketing,28,Master's & above,m,other,1,36,5,3,1,0,48,1
31,Technology,23,Master's & above,m,sourcing,1,38,3,5,1,1,79,1
32,R&D,22,Master's & above,m,other,2,28,3,4,0,0,84,0
33,Technology,22,Bachelor's,m,other,1,27,3,3,0,0,82,0
34,Analytics,7,Master's & above,m,other,1,36,3,2,0,0,84,0
35,Sales & Marketing,2,Bachelor's,m,sourcing,1,39,3,8,1,0,50,1
36,Sales & Marketing,2,Bachelor's,m,referred,1,26,5,3,1,0,47,0
37,Technology,22,Master's & above,m,other,2,45,3,15,0,0,82,0
38,Sales & Marketing,27,Bachelor's,m,sourcing,1,33,1,6,0,0,50,0
39,Analytics,2,Bachelor's,m,sourcing,1,36,4,6,0,0,88,0
40,Analytics,16,Bachelor's,m,other,1,35,3,5,0,0,87,0
41,Operations,16,Master's & above,m,other,2,38,2,5,0,0,56,0
42,Procurement,2,Master's & above,f,other,1,33,1,3,0,0,71,0
43,Technology,2,Bachelor's,f,sourcing,1,52,3,23,0,0,79,0
44,Operations,15,Master's & above,f,other,1,34,3,2,0,0,55,0
45,Sales & Marketing,12,Master's & above,m,other,1,38,3,8,0,0,52,0
46,Operations,4,Master's & above,m,sourcing,1,32,5,6,0,0,58,0
47,Technology,23,Bachelor's,f,sourcing,1,31,3,4,0,0,76,0
48,Operations,22,Master's & above,f,sourcing,1,40,5,5,0,0,59,0
49,HR,16,Bachelor's,m,sourcing,1,36,4,10,1,0,48,0
50,Operations,11,Bachelor's,m,sourcing,1,33,4,4,1,1,63,0
51,Operations,26,Bachelor's,m,other,1,35,5,5,0,0,60,0
52,Sales & Marketing,7,Bachelor's,m,other,1,56,1,5,0,0,50,0
53,Technology,2,Bachelor's,f,other,1,23,1,2,0,0,82,0
54,Sales & Marketing,11,Bachelor's,m,sourcing,1,38,3,10,0,0,52,0
55,Technology,22,Master's & above,m,other,1,53,1,11,0,0,80,0
56,Analytics,28,Bachelor's,m,sourcing,1,30,4,3,1,0,88,0
57,Sales & Marketing,28,Master's & above,m,sourcing,2,34,1,6,0,0,50,0
58,Operations,7,Bachelor's,m,other,1,51,3,10,0,0,59,0
59,Technology,7,Below Secondary,m,other,2,26,3,3,0,0,81,0
60,Operations,22,Bachelor's,f,sourcing,1,32,1,7,0,0,56,0
61,Sales & Marketing,16,Master's & above,f,other,1,36,2,9,0,1,52,0
62,Analytics,15,Bachelor's,m,other,2,31,2,3,0,0,88,0
63,Operations,21,Bachelor's,m,sourcing,1,53,5,8,1,0,60,0
64,Sales & Marketing,19,Bachelor's,m,other,1,40,5,9,0,0,55,0
65,Analytics,22,Bachelor's,f,other,3,28,5,5,1,0,83,0
66,Technology,30,Bachelor's,f,other,1,31,3,5,0,0,81,0
67,Technology,7,Master's & above,f,sourcing,1,35,5,10,0,0,83,1
68,Sales & Marketing,21,Bachelor's,m,other,1,44,1,7,0,0,46,0
69,Sales & Marketing,2,Bachelor's,m,other,1,56,3,15,0,0,51,0
70,Analytics,32,Bachelor's,m,sourcing,1,32,5,6,1,0,84,0
71,Operations,22,Master's & above,f,sourcing,2,38,3,12,1,0,87,1
72,Operations,4,Master's & above,m,other,1,48,3,20,1,0,59,1
73,Technology,31,Master's & above,m,other,2,35,3,3,0,0,81,0
74,Procurement,28,Bachelor's,m,sourcing,3,29,3,4,0,0,68,0
75,R&D,2,Master's & above,m,sourcing,1,38,4,9,0,0,83,0
76,Analytics,34,Bachelor's,m,other,2,29,3,2,0,0,88,0
77,Sales & Marketing,28,Master's & above,m,other,1,45,2,14,0,0,49,0
78,Technology,15,Master's & above,m,other,1,46,3,6,0,0,77,0
79,Procurement,20,Bachelor's,m,other,1,34,5,8,1,0,87,1
80,Analytics,29,Bachelor's,m,other,1,26,3,2,1,0,84,0
81,Analytics,7,Master's & above,m,other,1,49,4,5,0,0,90,0
82,HR,22,Bachelor's,f,other,1,24,3,3,0,0,52,0
83,Procurement,9,Bachelor's,f,sourcing,1,29,3,2,0,0,70,0
84,Sales & Marketing,13,Bachelor's,m,other,1,43,5,5,1,0,90,1
85,Technology,2,Bachelor's,f,other,1,35,3,9,0,0,77,0
86,Analytics,2,Bachelor's,m,other,1,39,3,3,0,0,86,0
87,Analytics,27,Bachelor's,m,other,1,42,3,6,1,0,84,0
88,Technology,29,Bachelor's,m,other,1,26,4,3,1,0,80,0
89,Sales & Marketing,2,Bachelor's,m,sourcing,1,56,5,24,1,0,50,0
90,Procurement,22,Bachelor's,m,other,2,26,3,2,0,0,67,0
91,Operations,31,Bachelor's,f,sourcing,1,30,5,8,1,0,64,0
92,Operations,22,Master's & above,f,other,1,31,3,2,1,0,62,0
93,Sales & Marketing,2,Bachelor's,f,sourcing,1,32,4,10,0,0,53,0
94,Procurement,8,Master's & above,f,other,1,40,5,3,1,0,69,1
95,Operations,22,Bachelor's,f,other,1,29,1,4,1,0,61,0
96,Technology,2,Bachelor's,m,other,1,48,2,6,0,0,79,0
97,Sales & Marketing,28,Master's & above,f,other,3,31,1,5,1,0,49,0
98,Sales & Marketing,31,Bachelor's,m,other,1,41,3,6,0,0,51,0
99,Technology,15,Bachelor's,m,sourcing,1,36,4,9,1,0,82,0
100,Procurement,17,Bachelor's,m,other,1,44,4,18,0,0,73,0
101,Technology,2,Master's & above,m,sourcing,1,46,3,19,0,0,80,0
102,R&D,2,Bachelor's,m,sourcing,4,40,1,5,0,0,84,0
103,Sales & Marketing,31,Bachelor's,m,other,1,29,3,6,1,0,94,1
104,R&D,2,Bachelor's,f,other,2,34,4,8,0,0,81,0
105,Sales & Marketing,4,Bachelor's,m,sourcing,4,27,1,5,1,0,48,0
106,Operations,26,Bachelor's,m,other,1,33,5,4,1,0,58,0
107,Analytics,29,Bachelor's,m,sourcing,1,27,4,3,1,0,86,0
108,HR,26,Bachelor's,m,sourcing,1,27,3,4,0,0,50,0
109,Technology,11,Master's & above,m,sourcing,1,34,3,7,1,0,79,0
110,Technology,8,Bachelor's,m,other,1,30,3,3,0,0,79,0
111,Sales & Marketing,6,Bachelor's,m,other,1,59,1,14,0,0,50,0
112,Finance,4,Bachelor's,m,sourcing,1,28,4,5,1,0,76,1
113,Technology,27,Bachelor's,f,other,1,32,3,5,0,0,79,0
114,Analytics,2,Master's & above,m,other,1,39,5,10,1,0,85,0
115,Operations,7,Master's & above,f,other,1,34,5,2,1,0,59,0
116,HR,7,Bachelor's,f,other,1,35,3,7,0,0,46,0
117,Finance,12,Bachelor's,m,other,1,29,5,6,1,0,61,0
118,Technology,5,Master's & above,f,other,1,38,4,5,1,0,79,0
119,R&D,25,Bachelor's,m,other,1,32,2,5,0,0,81,0
120,Analytics,3,Bachelor's,m,sourcing,1,29,4,4,0,0,82,0
121,Technology,5,Master's & above,f,other,1,37,1,3,0,0,82,0
122,Operations,22,Master's & above,f,other,1,56,5,17,0,0,57,0
123,Sales & Marketing,7,Master's & above,f,other,2,42,4,15,1,0,47,1
124,HR,2,Bachelor's,m,other,1,44,3,15,0,0,48,0
125,Sales & Marketing,16,Bachelor's,m,sourcing,1,36,2,5,0,0,48,0
126,Technology,20,Bachelor's,m,other,4,34,3,4,1,1,84,0
127,Analytics,2,Bachelor's,f,sourcing,1,32,1,5,0,0,87,0
128,Sales & Marketing,13,Bachelor's,f,other,1,30,1,8,0,0,52,0
129,Procurement,2,Bachelor's,f,other,3,33,3,7,0,0,66,0
130,Technology,7,Bachelor's,m,sourcing,1,32,5,6,1,0,83,0
131,Operations,15,Bachelor's,m,other,1,41,4,6,1,0,52,0
132,Procurement,26,Master's & above,m,other,1,52,5,9,1,0,68,0
133,Operations,20,Bachelor's,f,other,1,26,4,3,0,0,61,0
134,Procurement,13,Master's & above,m,other,1,34,4,5,0,0,71,0
135,Sales & Marketing,13,Master's & above,m,other,1,54,1,7,0,0,50,0
136,Operations,7,Bachelor's,f,sourcing,1,27,3,4,0,0,65,0
137,Technology,24,Master's & above,m,other,1,38,1,7,0,0,81,0
138,Technology,2,Master's & above,m,sourcing,1,42,1,7,0,0,78,0
139,Operations,22,Bachelor's,m,other,1,33,5,5,1,0,62,0
140,Legal,11,Bachelor's,m,sourcing,1,37,4,10,0,0,56,0
141,Procurement,13,Master's & above,m,other,1,41,1,12,0,0,70,0
142,Operations,31,Master's & above,m,sourcing,2,38,3,8,0,0,77,1
143,Operations,22,Bachelor's,m,other,3,29,3,3,0,0,56,0
144,Procurement,2,Master's & above,f,other,3,51,5,11,0,0,67,0
145,Operations,14,Bachelor's,f,other,1,33,5,6,0,0,57,0
146,Technology,2,Master's & above,f,other,1,36,3,3,0,0,76,0
147,Sales & Marketing,13,Bachelor's,m,other,2,33,2,5,0,0,50,0
148,Operations,2,Bachelor's,m,sourcing,1,50,3,25,0,0,61,0
149,Sales & Marketing,4,Master's & above,m,sourcing,1,44,5,17,1,0,48,0
150,Sales & Marketing,7,Master's & above,m,other,1,34,3,6,0,0,50,0
151,HR,2,Master's & above,f,other,1,45,3,4,0,0,46,0
152,Operations,10,Bachelor's,f,sourcing,2,33,3,7,0,0,60,0
153,Legal,2,Bachelor's,m,sourcing,1,31,2,3,0,0,57,0
154,Analytics,22,Bachelor's,m,other,1,29,5,3,1,0,89,0
155,Sales & Marketing,28,Master's & above,m,other,1,32,4,6,1,0,52,1
156,Operations,23,Bachelor's,m,sourcing,2,34,3,10,0,0,57,0
157,Technology,8,Master's & above,f,sourcing,1,30,3,6,0,0,78,0
158,Operations,16,Master's & above,m,sourcing,1,34,3,6,0,0,57,0
159,Analytics,11,Master's & above,m,sourcing,1,33,1,8,0,0,86,0
160,Operations,11,Master's & above,m,other,1,48,4,16,0,0,56,0
161,Sales & Marketing,27,Bachelor's,f,sourcing,1,34,1,7,0,0,43,0
162,Technology,14,Bachelor's,m,other,1,48,3,11,0,0,76,0
163,Operations,2,Master's & above,m,other,1,40,5,3,1,0,62,0
164,Procurement,2,Master's & above,f,other,1,58,4,26,0,0,71,0
165,Procurement,7,Bachelor's,m,sourcing,1,36,3,7,1,0,71,0
166,Operations,28,Bachelor's,m,other,1,34,5,7,1,0,55,0
167,R&D,2,Bachelor's,m,other,1,39,5,6,1,0,83,0
168,Procurement,2,Below Secondary,f,other,1,25,5,2,1,0,69,1
169,Technology,7,Bachelor's,f,sourcing,1,29,5,2,1,0,82,1
170,Operations,26,Bachelor's,f,sourcing,1,33,4,2,1,0,64,0
171,Sales & Marketing,10,Master's & above,f,sourcing,1,40,3,7,0,0,50,0
172,Technology,2,Bachelor's,f,other,1,43,1,6,0,0,81,0
173,Analytics,13,Master's & above,m,sourcing,1,30,5,3,1,0,86,0
174,Operations,32,Bachelor's,f,sourcing,1,34,5,4,1,0,56,0
175,Sales & Marketing,29,Master's & above,f,other,2,33,1,3,1,0,58,0
176,Procurement,15,Master's & above,f,other,1,30,3,5,0,0,82,1
177,Sales & Marketing,2,Master's & above,f,other,4,57,1,6,0,0,50,0
178,Sales & Marketing,15,Master's & above,m,other,1,43,1,13,0,0,46,0
179,Legal,22,Bachelor's,m,sourcing,1,30,4,3,0,0,62,0
180,Sales & Marketing,23,Bachelor's,m,other,4,31,1,4,0,0,54,0
181,Operations,22,Below Secondary,m,sourcing,1,26,5,4,0,0,64,0
182,Procurement,2,Bachelor's,m,sourcing,1,39,1,11,0,0,67,0
183,Sales & Marketing,31,Master's & above,m,sourcing,1,37,3,6,1,0,51,0
184,Technology,33,Bachelor's,m,other,1,31,1,5,0,0,78,0
185,Procurement,2,Below Secondary,m,other,1,26,4,2,1,0,68,0
186,Sales & Marketing,7,Bachelor's,m,other,1,27,2,2,0,0,50,0
187,Finance,30,Bachelor's,f,sourcing,1,28,5,4,1,1,96,1
188,Procurement,2,Master's & above,m,sourcing,1,47,1,12,0,0,73,0
189,Sales & Marketing,29,Bachelor's,m,sourcing,1,43,4,14,0,0,53,0
190,Procurement,2,Master's & above,m,sourcing,1,33,1,6,0,0,71,0
191,Sales & Marketing,22,Bachelor's,f,sourcing,1,32,3,8,0,0,50,0
192,Operations,15,Bachelor's,m,other,1,44,2,15,0,0,59,0
193,Procurement,24,Bachelor's,m,sourcing,1,29,3,3,1,0,68,0
194,Operations,19,Bachelor's,m,sourcing,2,32,1,3,0,0,60,0
195,Technology,20,Master's & above,m,other,1,42,3,5,0,0,79,0
196,Finance,2,Bachelor's,m,sourcing,1,47,1,19,0,0,62,0
197,Sales & Marketing,2,Bachelor's,m,other,5,28,1,5,0,0,51,0
198,Sales & Marketing,23,Bachelor's,m,sourcing,1,35,3,9,1,0,45,1
199,HR,2,Bachelor's,m,other,1,49,3,6,0,1,62,1
200,Sales & Marketing,4,Master's & above,m,other,2,43,3,12,1,0,47,1
201,Operations,26,Bachelor's,m,sourcing,1,29,4,2,0,0,61,0
202,Sales & Marketing,28,Bachelor's,m,other,1,30,3,2,1,0,45,1
203,Operations,3,Bachelor's,m,other,1,30,5,6,1,0,56,0
204,Operations,28,Master's & above,m,other,1,36,3,5,0,0,58,0
205,Sales & Marketing,20,Bachelor's,m,other,1,34,3,8,0,0,46,0
206,Finance,7,Bachelor's,m,other,2,26,3,2,1,0,59,0
207,Sales & Marketing,2,Bachelor's,f,sourcing,1,42,5,12,1,0,52,0
208,Procurement,16,Master's & above,m,other,1,33,4,6,0,0,67,0
209,Sales & Marketing,23,Master's & above,m,other,4,37,3,7,0,0,52,0
210,HR,25,Bachelor's,m,sourcing,2,28,4,5,0,0,49,0
211,Finance,22,Master's & above,m,other,1,32,3,8,0,0,58,0
212,Operations,32,Bachelor's,m,other,2,31,5,6,1,0,63,0
213,Sales & Marketing,2,Bachelor's,m,sourcing,2,46,1,17,0,0,51,0
214,Operations,22,Bachelor's,f,other,1,51,4,16,0,0,55,0
215,Sales & Marketing,27,Bachelor's,m,other,1,39,5,10,0,0,51,0
216,Operations,16,Bachelor's,f,other,1,36,2,7,1,0,60,0
217,Technology,17,Bachelor's,f,sourcing,1,38,4,7,0,0,81,0
218,Legal,4,Bachelor's,m,other,1,30,5,4,1,0,59,0
219,Operations,2,Bachelor's,m,other,2,34,5,2,0,0,58,0
220,R&D,7,Master's & above,m,sourcing,2,41,3,2,0,0,82,0
221,Technology,2,Bachelor's,m,referred,1,29,3,2,1,0,83,0
222,Sales & Marketing,19,Bachelor's,m,sourcing,4,34,3,2,0,0,48,0
223,Operations,22,Bachelor's,m,other,1,32,2,5,1,0,62,0
224,Technology,2,Bachelor's,f,other,1,52,3,12,0,0,81,0
225,Technology,22,Bachelor's,m,other,1,26,3,3,0,0,80,0
226,Procurement,20,Master's & above,f,other,1,34,3,7,0,0,70,0
227,Sales & Marketing,25,Master's & above,m,sourcing,1,34,4,5,1,0,51,0
228,Sales & Marketing,1,Bachelor's,m,other,1,29,4,5,0,0,50,0
229,Finance,7,Bachelor's,m,other,1,33,5,6,1,0,57,0
230,Operations,15,Bachelor's,m,sourcing,1,33,4,6,1,0,63,0
231,HR,2,Bachelor's,f,sourcing,1,32,5,9,1,0,51,1
232,Sales & Marketing,31,Bachelor's,m,sourcing,1,35,5,8,0,0,56,0
233,Technology,31,Bachelor's,m,other,2,29,3,2,0,0,79,0
234,Finance,7,Bachelor's,m,other,1,36,3,5,1,0,62,0
235,Technology,31,Bachelor's,m,sourcing,2,25,3,2,0,0,80,0
236,Sales & Marketing,7,Master's & above,m,other,1,40,4,4,0,0,49,0
237,Sales & Marketing,28,Master's & above,f,sourcing,1,31,5,5,1,0,51,0
238,Sales & Marketing,26,Bachelor's,m,sourcing,1,31,4,2,0,0,48,0
239,Operations,2,Master's & above,m,other,1,55,4,18,0,1,54,0
240,Sales & Marketing,16,Master's & above,m,sourcing,1,45,1,14,0,0,45,0
241,R&D,26,Bachelor's,m,referred,1,30,4,3,0,0,83,0
242,Procurement,22,Bachelor's,m,other,1,29,4,4,1,0,66,0
243,Sales & Marketing,27,Bachelor's,m,other,1,32,5,5,0,0,45,0
244,Sales & Marketing,2,Bachelor's,m,other,2,24,3,3,0,0,53,0
245,Operations,22,Bachelor's,f,sourcing,1,25,3,2,0,0,60,0
246,Operations,4,Master's & above,f,other,2,42,3,5,0,0,66,0
247,Procurement,2,Master's & above,f,sourcing,1,47,3,4,1,0,73,0
248,HR,7,Bachelor's,m,other,1,40,4,5,0,0,53,0
249,Procurement,4,Master's & above,f,other,1,34,4,7,0,0,70,0
250,Procurement,2,Master's & above,f,other,1,36,4,8,0,0,74,0
251,Sales & Marketing,19,Bachelor's,f,sourcing,1,34,3,9,0,0,48,0
252,Sales & Marketing,4,Master's & above,f,other,1,34,3,5,0,0,65,1
253,Operations,16,Bachelor's,f,other,1,35,3,5,1,0,57,1
254,Operations,15,Bachelor's,m,referred,1,36,4,7,1,0,58,0
255,Sales & Marketing,2,Master's & above,m,other,1,58,3,6,0,0,97,1
256,Technology,2,Bachelor's,f,other,1,59,3,16,1,0,80,0
257,Sales & Marketing,6,Bachelor's,m,other,1,32,3,5,1,0,51,0
258,Sales & Marketing,2,Master's & above,m,sourcing,2,46,2,12,0,0,48,0
259,HR,2,Master's & above,f,referred,1,37,5,4,1,0,47,0
260,Operations,16,Bachelor's,m,other,2,31,4,5,1,0,63,0
261,Procurement,12,Bachelor's,f,sourcing,1,31,5,5,0,0,71,0
262,Technology,2,Bachelor's,m,other,2,34,2,2,1,0,76,0
263,Technology,26,Master's & above,f,sourcing,2,43,1,12,0,0,80,0
264,Analytics,25,Bachelor's,m,other,2,32,5,2,1,0,88,0
265,Operations,15,Bachelor's,f,sourcing,1,31,4,5,0,0,58,0
266,Technology,26,Master's & above,f,other,4,33,4,7,1,0,82,0
267,Procurement,33,Bachelor's,f,sourcing,1,32,2,5,0,0,67,0
268,Procurement,15,Bachelor's,f,sourcing,2,33,4,8,0,0,71,0
269,Procurement,2,Master's & above,f,sourcing,1,48,1,19,0,0,72,0
270,Procurement,2,Bachelor's,m,other,3,60,3,16,0,0,68,0
271,Sales & Marketing,26,Bachelor's,f,other,1,30,3,6,0,0,48,0
272,Sales & Marketing,7,Bachelor's,m,sourcing,1,36,5,4,0,0,49,0
273,Sales & Marketing,32,Bachelor's,m,other,1,35,4,2,1,0,48,0
274,Sales & Marketing,31,Master's & above,m,other,3,33,3,6,0,0,50,0
275,Procurement,15,Master's & above,f,other,4,32,3,8,0,0,70,0
276,Technology,7,Bachelor's,f,sourcing,1,43,5,12,1,0,80,0
277,Sales & Marketing,7,Master's & above,m,other,1,42,5,16,0,1,98,1
278,Sales & Marketing,22,Bachelor's,m,sourcing,1,36,2,9,0,0,47,0
279,Sales & Marketing,22,Bachelor's,m,referred,1,27,1,5,1,0,50,0
280,Procurement,27,Bachelor's,f,sourcing,1,33,1,8,0,0,74,0
281,Sales & Marketing,28,Master's & above,f,other,2,33,3,7,0,0,49,0
282,Technology,7,Bachelor's,m,other,1,34,4,7,1,0,78,1
283,Sales & Marketing,14,Master's & above,m,sourcing,2,42,1,7,1,0,50,0
284,Analytics,13,Bachelor's,m,sourcing,1,30,3,5,0,0,85,0
285,Operations,16,Master's & above,m,sourcing,1,48,3,18,0,0,64,0
286,Procurement,23,Bachelor's,f,other,1,28,5,2,1,0,69,1
287,Operations,11,Bachelor's,m,other,1,30,5,6,1,0,58,0
288,Operations,15,Bachelor's,f,sourcing,1,33,3,10,0,0,69,1
289,Operations,2,Bachelor's,f,sourcing,1,49,5,9,1,0,60,0
290,Sales & Marketing,2,Master's & above,f,other,2,50,1,17,0,0,48,0
291,Procurement,2,Master's & above,f,sourcing,1,34,3,7,0,0,70,0
292,Technology,19,Bachelor's,m,other,1,44,1,11,0,0,78,0
293,Sales & Marketing,20,Master's & above,m,sourcing,1,32,5,3,1,0,50,0
294,Sales & Marketing,2,Bachelor's,m,referred,1,28,4,4,1,0,45,0
295,Legal,13,Master's & above,m,sourcing,1,36,3,4,0,0,66,0
296,Operations,22,Bachelor's,f,sourcing,1,23,3,2,0,0,61,0
297,Operations,2,Below Secondary,m,other,1,24,3,2,0,0,60,0
298,Technology,2,Bachelor's,f,sourcing,1,57,3,19,0,0,81,0
299,Operations,4,Bachelor's,m,sourcing,1,29,4,2,1,0,57,0
300,Analytics,9,Bachelor's,m,sourcing,1,28,3,2,0,0,88,0
301,Sales & Marketing,22,Bachelor's,m,other,1,36,5,7,1,0,52,1
302,Sales & Marketing,26,Bachelor's,m,other,1,40,5,11,0,0,51,0
303,Analytics,1,Master's & above,m,sourcing,1,35,5,9,1,0,84,1
304,Operations,1,Bachelor's,f,other,2,29,5,5,1,0,56,0
305,Analytics,2,Bachelor's,m,sourcing,1,46,5,6,1,0,88,0
306,Legal,7,Bachelor's,m,other,1,35,3,5,0,0,61,0
307,Analytics,31,Bachelor's,m,sourcing,1,34,3,6,0,0,82,0
308,Sales & Marketing,27,Master's & above,f,other,1,36,1,7,0,0,54,0
309,Sales & Marketing,2,Bachelor's,m,sourcing,1,38,5,6,0,0,46,0
310,Sales & Marketing,8,Bachelor's,m,sourcing,1,33,1,6,0,0,48,0
311,Sales & Marketing,7,Bachelor's,m,sourcing,1,34,1,7,0,0,51,0
312,HR,15,Bachelor's,m,other,1,33,3,10,0,0,53,0
313,Operations,26,Master's & above,f,sourcing,1,42,5,3,0,0,77,1
314,Procurement,2,Master's & above,f,sourcing,1,36,4,5,1,0,62,0
315,Sales & Marketing,4,Bachelor's,m,other,1,34,3,5,0,0,48,0
316,Sales & Marketing,27,Bachelor's,m,other,1,40,2,10,0,0,49,0
317,Operations,27,Bachelor's,f,other,1,40,5,3,1,0,57,0
318,Analytics,25,Bachelor's,m,other,1,31,3,7,1,0,87,0
319,Sales & Marketing,2,Master's & above,f,other,1,54,4,24,0,0,54,0
320,Procurement,2,Master's & above,f,sourcing,2,33,3,6,0,0,71,0
321,Operations,4,Bachelor's,m,other,1,32,4,3,1,0,58,0
322,Sales & Marketing,25,Bachelor's,m,sourcing,1,29,3,2,1,0,50,0
323,Sales & Marketing,31,Master's & above,m,other,1,44,1,6,0,0,48,0
324,Procurement,11,Master's & above,m,sourcing,1,39,5,3,1,0,69,0
325,Analytics,4,Bachelor's,m,other,2,28,3,2,0,0,84,1
326,Sales & Marketing,2,Master's & above,m,other,1,30,1,4,0,0,50,0
327,Sales & Marketing,22,Master's & above,f,other,1,37,4,7,0,0,49,0
328,Finance,2,Bachelor's,m,sourcing,1,30,3,4,1,0,58,0
329,Technology,25,Master's & above,m,sourcing,1,36,5,8,1,0,76,1
330,Technology,2,Master's & above,m,other,2,41,3,12,0,0,78,0
331,Procurement,4,Bachelor's,m,sourcing,1,31,3,7,0,0,65,0
332,Analytics,22,Bachelor's,m,other,2,32,5,2,0,0,85,0
333,Sales & Marketing,31,Bachelor's,m,sourcing,1,31,4,7,0,0,48,0
334,Operations,21,Master's & above,f,sourcing,1,34,5,6,1,0,59,0
335,Procurement,6,Bachelor's,m,other,1,43,3,6,0,0,69,0
336,Technology,24,Bachelor's,m,sourcing,2,27,2,4,0,0,82,0
337,Analytics,26,Bachelor's,m,sourcing,2,32,3,8,0,0,88,0
338,Sales & Marketing,22,Bachelor's,m,other,4,30,3,4,0,0,49,0
339,Sales & Marketing,7,Bachelor's,m,other,2,28,1,5,0,0,48,0
340,Analytics,2,Master's & above,m,other,2,47,3,15,0,0,84,0
341,Procurement,2,Bachelor's,m,sourcing,1,26,3,2,0,0,76,0
342,Procurement,2,Bachelor's,f,other,1,44,3,2,0,0,70,0
343,Sales & Marketing,25,Bachelor's,m,sourcing,1,31,5,3,1,0,52,0
344,Analytics,22,Bachelor's,m,other,2,26,5,4,0,0,85,1
345,Operations,7,Bachelor's,f,other,2,38,4,10,0,0,58,0
346,Analytics,20,Bachelor's,m,sourcing,1,29,1,2,0,0,80,0
347,Operations,8,Master's & above,f,sourcing,1,36,3,6,0,0,59,0
348,R&D,22,Master's & above,m,sourcing,1,29,2,3,0,0,86,0
349,Finance,2,Master's & above,m,sourcing,1,36,3,2,1,0,64,0
350,Technology,15,Bachelor's,m,sourcing,1,35,3,9,0,0,87,0
351,Analytics,8,Bachelor's,m,other,1,31,1,4,1,0,87,0
352,Technology,25,Master's & above,f,sourcing,1,33,3,7,0,0,77,0
353,Procurement,2,Below Secondary,m,other,2,24,3,2,0,0,73,0
354,Technology,7,Master's & above,f,other,1,35,1,10,0,0,81,0
355,Finance,28,Master's & above,f,sourcing,1,33,4,3,0,0,66,0
356,Sales & Marketing,7,Master's & above,m,other,1,44,5,16,1,0,47,0
357,Operations,8,Bachelor's,m,other,1,31,3,4,0,1,59,0
358,Analytics,2,Bachelor's,m,sourcing,1,45,5,15,0,0,88,0
359,Operations,7,Master's & above,m,sourcing,1,35,2,10,0,0,57,0
360,Sales & Marketing,17,Bachelor's,m,other,2,32,4,5,1,0,50,0
361,Sales & Marketing,29,Master's & above,m,sourcing,1,35,4,10,0,0,49,0
362,Sales & Marketing,7,Bachelor's,m,other,1,34,3,10,1,0,51,1
363,Procurement,17,Bachelor's,m,sourcing,3,33,4,7,1,0,70,1
364,Sales & Marketing,2,Bachelor's,f,sourcing,1,40,4,6,1,0,52,0
365,Operations,2,Master's & above,m,sourcing,1,36,5,3,1,0,58,0
366,Operations,11,Master's & above,m,other,1,36,4,10,1,0,60,0
367,Procurement,2,Bachelor's,f,other,2,35,3,7,0,0,68,0
368,Sales & Marketing,13,Bachelor's,f,other,1,38,5,3,1,0,50,0
